Company Name,Industry,ISIN Code,NSE Ticker,BSE Ticker
3M India Ltd.,Diversified,INE470A01017,3MINDIA.NS,523395
ABB India Ltd.,Capital Goods,INE117A01022,ABB.NS,500002
ACC Ltd.,Construction Materials,INE012A01025,ACC.NS,500410
AIA Engineering Ltd.,Capital Goods,INE212H01026,AIAENG.NS,532683
APL Apollo Tubes Ltd.,Capital Goods,INE702C01027,APLAPOLLO.NS,533758
AU Small Finance Bank Ltd.,Financial Services,INE949L01017,AUBANK.NS,540611
Aarti Drugs Ltd.,Healthcare,INE767A01016,AARTIDRUGS.NS,524348
Aavas Financiers Ltd.,Financial Services,INE216P01012,AAVAS.NS,541988
Abbott India Ltd.,Healthcare,INE358A01014,ABBOTINDIA.NS,500488
Adani Enterprises Ltd.,Metals & Mining,INE423A01024,ADANIENT.NS,512599
Adani Green Energy Ltd.,Power,INE364U01010,ADANIGREEN.NS,541450
Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042,ADANIPORTS.NS,532921
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023,ATGL.NS,542066
Adani Transmission Ltd.,Power,INE931S01010,ADANITRANS.NS,539254
Aditya Birla Capital Ltd.,Financial Services,INE674K01013,ABCAPITAL.NS,540691
Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011,ABFRL.NS,535755
Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024,ABSLAMC.NS,543374
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,INE837H01020,ADVENZYMES.NS,540025
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025,AEGISCHEM.NS,500003
Affle (India) Ltd.,Information Technology,INE00WC01027,AFFLE.NS,542752
Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049,AJANTPHARM.NS,532331
Alembic Pharmaceuticals Ltd.,Healthcare,INE901L01018,APLLTD.NS,533573
Alkem Laboratories Ltd.,Healthcare,INE540L01014,ALKEM.NS,539523
Alkyl Amines Chemicals Ltd.,Chemicals,INE150B01039,ALKYLAMINE.NS,506767
Allcargo Logistics Ltd.,Services,INE418H01029,ALLCARGO.NS,532749
Alok Industries Ltd.,Textiles,INE270A01029,ALOKINDS.NS,521070
Amara Raja Batteries Ltd.,Automobile and Auto Components,INE885A01032,AMARAJABAT.NS,500008
Amber Enterprises India Ltd.,Consumer Durables,INE371P01015,AMBER.NS,540902
Ambuja Cements Ltd.,Construction Materials,INE079A01024,AMBUJACEM.NS,500425
Angel One Ltd.,Financial Services,INE732I01013,ANGELONE.NS,543235
Anupam Rasayan India Ltd.,Chemicals,INE930P01018,ANURAS.NS,543275
Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024,APOLLOHOSP.NS,508869
Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022,APOLLOTYRE.NS,500877
Aptus Value Housing Finance India Ltd.,Financial Services,INE852O01025,APTUS.NS,543335
Asahi India Glass Ltd.,Automobile and Auto Components,INE439A01020,ASAHIINDIA.NS,515030
Ashok Leyland Ltd.,Capital Goods,INE208A01029,ASHOKLEY.NS,500477
Asian Paints Ltd.,Consumer Durables,INE021A01026,ASIANPAINT.NS,500820
