Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,523395,3MINDIA.NS
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,500002,ABB.NS
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,500410,ACC.NS
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,532683,AIAENG.NS
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,533758,APLAPOLLO.NS
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,540611,AUBANK.NS
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016,524348,AARTIDRUGS.NS
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,524208,AARTIIND.NS
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,541988,AAVAS.NS
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,500488,ABBOTINDIA.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,512599,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,541450,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,532921,ADANIPORTS.NS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,542066,ATGL.NS
Adani Transmission Ltd.,Power,ADANITRANS,EQ,INE931S01010,539254,ADANITRANS.NS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,540691,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,535755,ABFRL.NS
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,543374,ABSLAMC.NS
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES,EQ,INE837H01020,540025,ADVENZYMES.NS
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025,500003,AEGISCHEM.NS
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,542752,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,532331,AJANTPHARM.NS
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,533573,APLLTD.NS
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,539523,ALKEM.NS
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,506767,ALKYLAMINE.NS
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029,532749,ALLCARGO.NS
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,521070,ALOKINDS.NS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,EQ,INE885A01032,500008,AMARAJABAT.NS
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,540902,AMBER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,500425,AMBUJACEM.NS
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,543235,ANGELONE.NS
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,543275,ANURAS.NS
