Company Name,Weightage (%)
Asian Paint,1.95
Axis Bank,2.61
Bajaj Finserv,1.32
Bajaj Finance,2.53
Airtel,2.21
HCL Technology,1.67
HDFC,5.83
HDFC Bank,8.51
Hindustan Unilever,2.64
ICICI Bank,7.03
Infosys,8.67
ITC,2.57
Kotak Bank,3.69
LNT,2.99
Maruti,1.51
Reliance,11.09
SBI,2.53
Tata Steel,1.32
TCS,5.02
Titan,1.45
Adani Ports,0.71
Cipla,0.65
Divis Laboratories Ltd.,0.74
Dr Reddys Laboratories Ltd.,0.67
Grasim,0.82
HDFC Life Insurance,0.66
Hindalco Industries,1.14
IndusInd Bank,0.82
JSW Steels,0.85
Mahindra & Mahindra Limited,1.03
Nestle India,0.86
NTPC,0.86
ONGC,0.8
PowerGrid,0.97
SBI Life Insurance,0.64
Sun Pharma Advanced Research Company Ltd,1.24
Tata Motors,1.11
Tech Mahindra,1.19
UltraTech Cement,1.03
Wipro,1.12
Bajaj Auto,0.63
Bharat Petroleum,0.45
Britannia,0.55
Coal India,0.48
Eicher Motors,0.49
Hero Motorcorp,0.45
Indian Oil Corporation Ltd.,0.4
Shree Cement,0.44
Tata Consumer Products Limited,0.59
UPL Ltd.,0.5
