Company Name,Symbol,NSE Ticker
3M India Ltd.,3MINDIA,3MINDIA.NS
ABB India Ltd.,ABB,ABB.NS
ACC Ltd.,ACC,ACC.NS
AIA Engineering Ltd.,AIAENG,AIAENG.NS
APL Apollo Tubes Ltd.,APLAPOLLO,APLAPOLLO.NS
AU Small Finance Bank Ltd.,AUBANK,AUBANK.NS
Aarti Drugs Ltd.,AARTIDRUGS,AARTIDRUGS.NS
Aarti Industries Ltd.,AARTIIND,AARTIIND.NS
Aavas Financiers Ltd.,AAVAS,AAVAS.NS
Abbott India Ltd.,ABBOTINDIA,ABBOTINDIA.NS
Adani Enterprises Ltd.,ADANIENT,ADANIENT.NS
Adani Green Energy Ltd.,ADANIGREEN,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,ADANIPORTS.NS
Adani Total Gas Ltd.,ATGL,ATGL.NS
Adani Transmission Ltd.,ADANITRANS,ADANITRANS.NS
Aditya Birla Capital Ltd.,ABCAPITAL,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL,ABFRL.NS
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,ABSLAMC.NS
Advanced Enzyme Tech Ltd.,ADVENZYMES,ADVENZYMES.NS
Aegis Logistics Ltd.,AEGISCHEM,AEGISCHEM.NS
Affle (India) Ltd.,AFFLE,AFFLE.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,AJANTPHARM.NS
Alembic Pharmaceuticals Ltd.,APLLTD,APLLTD.NS
Alkem Laboratories Ltd.,ALKEM,ALKEM.NS
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,ALKYLAMINE.NS
Allcargo Logistics Ltd.,ALLCARGO,ALLCARGO.NS
Alok Industries Ltd.,ALOKINDS,ALOKINDS.NS
Amara Raja Batteries Ltd.,AMARAJABAT,AMARAJABAT.NS
Amber Enterprises India Ltd.,AMBER,AMBER.NS
Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM.NS
Angel One Ltd.,ANGELONE,ANGELONE.NS
Anupam Rasayan India Ltd.,ANURAS,ANURAS.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE,APOLLOTYRE.NS
Aptus Value Housing Finance India Ltd.,APTUS,APTUS.NS
Asahi India Glass Ltd.,ASAHIINDIA,ASAHIINDIA.NS
Ashok Leyland Ltd.,ASHOKLEY,ASHOKLEY.NS
Asian Paints Ltd.,ASIANPAINT,ASIANPAINT.NS
Aster DM Healthcare Ltd.,ASTERDM,ASTERDM.NS
AstraZenca Pharma India Ltd.,ASTRAZEN,ASTRAZEN.NS
Astral Ltd.,ASTRAL,ASTRAL.NS
Atul Ltd.,ATUL,ATUL.NS
Aurobindo Pharma Ltd.,AUROPHARMA,AUROPHARMA.NS
Avanti Feeds Ltd.,AVANTIFEED,AVANTIFEED.NS
Avenue Supermarts Ltd.,DMART,DMART.NS
Axis Bank Ltd.,AXISBANK,AXISBANK.NS
BASF India Ltd.,BASF,BASF.NS
BSE Ltd.,BSE,BSE.NS
Bajaj Auto Ltd.,BAJAJ-AUTO,BAJAJ-AUTO.NS
Bajaj Electricals Ltd,BAJAJELEC,BAJAJELEC.NS
Bajaj Finance Ltd.,BAJFINANCE,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,BAJAJHLDNG.NS
Balaji Amines Ltd.,BALAMINES,BALAMINES.NS
Balkrishna Industries Ltd.,BALKRISIND,BALKRISIND.NS
Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMCHIN.NS
Bandhan Bank Ltd.,BANDHANBNK,BANDHANBNK.NS
Bank of Baroda,BANKBARODA,BANKBARODA.NS
Bank of India,BANKINDIA,BANKINDIA.NS
Bank of Maharashtra,MAHABANK,MAHABANK.NS
Bata India Ltd.,BATAINDIA,BATAINDIA.NS
Bayer Cropscience Ltd.,BAYERCROP,BAYERCROP.NS
Berger Paints India Ltd.,BERGEPAINT,BERGEPAINT.NS
Bharat Dynamics Ltd.,BDL,BDL.NS
Bharat Electronics Ltd.,BEL,BEL.NS
Bharat Forge Ltd.,BHARATFORG,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,BHEL,BHEL.NS
Bharat Petroleum Corporation Ltd.,BPCL,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL,BHARTIARTL.NS
Biocon Ltd.,BIOCON,BIOCON.NS
Birla Corporation Ltd.,BIRLACORPN,BIRLACORPN.NS
Birlasoft Ltd.,BSOFT,BSOFT.NS
Blue Dart Express Ltd.,BLUEDART,BLUEDART.NS
Blue Star Ltd.,BLUESTARCO,BLUESTARCO.NS
Bombay Burmah Trading Corporation Ltd.,BBTC,BBTC.NS
Borosil Renewables Ltd.,BORORENEW,BORORENEW.NS
Bosch Ltd.,BOSCHLTD,BOSCHLTD.NS
Brigade Enterprises Ltd.,BRIGADE,BRIGADE.NS
Brightcom Group Ltd.,BCG,BCG.NS
Britannia Industries Ltd.,BRITANNIA,BRITANNIA.NS
C.E. Info Systems Ltd.,MAPMYINDIA,MAPMYINDIA.NS
CCL Products (I) Ltd.,CCL,CCL.NS
CESC Ltd.,CESC,CESC.NS
CG Power and Industrial Solutions Ltd.,CGPOWER,CGPOWER.NS
CRISIL Ltd.,CRISIL,CRISIL.NS
CSB Bank Ltd.,CSBBANK,CSBBANK.NS
Can Fin Homes Ltd.,CANFINHOME,CANFINHOME.NS
Canara Bank,CANBK,CANBK.NS
Caplin Point Laboratories Ltd.,CAPLIPOINT,CAPLIPOINT.NS
Capri Global Capital Ltd.,CGCL,CGCL.NS
Carborundum Universal Ltd.,CARBORUNIV,CARBORUNIV.NS
Castrol India Ltd.,CASTROLIND,CASTROLIND.NS
Ceat Ltd.,CEATLTD,CEATLTD.NS
Central Bank of India,CENTRALBK,CENTRALBK.NS
Central Depository Services (India) Ltd.,CDSL,CDSL.NS
Century Plyboards (India) Ltd.,CENTURYPLY,CENTURYPLY.NS
Century Textile & Industries Ltd.,CENTURYTEX,CENTURYTEX.NS
Cera Sanitaryware Ltd,CERA,CERA.NS
Chalet Hotels Ltd.,CHALET,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,CHAMBLFERT.NS
Chemplast Sanmar Ltd.,CHEMPLASTS,CHEMPLASTS.NS
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,CHOLAFIN.NS
Cipla Ltd.,CIPLA,CIPLA.NS
City Union Bank Ltd.,CUB,CUB.NS
Clean Science and Technology Ltd.,CLEAN,CLEAN.NS
Coal India Ltd.,COALINDIA,COALINDIA.NS
Cochin Shipyard Ltd.,COCHINSHIP,COCHINSHIP.NS
Coforge Ltd.,COFORGE,COFORGE.NS
Colgate Palmolive (India) Ltd.,COLPAL,COLPAL.NS
Computer Age Management Services Ltd.,CAMS,CAMS.NS
Container Corporation of India Ltd.,CONCOR,CONCOR.NS
Coromandel International Ltd.,COROMANDEL,COROMANDEL.NS
CreditAccess Grameen Ltd.,CREDITACC,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,CROMPTON.NS
Cummins India Ltd.,CUMMINSIND,CUMMINSIND.NS
Cyient Ltd.,CYIENT,CYIENT.NS
DCM Shriram Ltd.,DCMSHRIRAM,DCMSHRIRAM.NS
DLF Ltd.,DLF,DLF.NS
Dabur India Ltd.,DABUR,DABUR.NS
Dalmia Bharat Ltd.,DALBHARAT,DALBHARAT.NS
Deepak Nitrite Ltd.,DEEPAKNTR,DEEPAKNTR.NS
Delta Corp Ltd.,DELTACORP,DELTACORP.NS
Devyani International Ltd.,DEVYANI,DEVYANI.NS
Dhani Services Ltd.,DHANI,DHANI.NS
Dilip Buildcon Ltd.,DBL,DBL.NS
Divi's Laboratories Ltd.,DIVISLAB,DIVISLAB.NS
Dixon Technologies (India) Ltd.,DIXON,DIXON.NS
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY,DRREDDY.NS
E.I.D. Parry (India) Ltd.,EIDPARRY,EIDPARRY.NS
EIH Ltd.,EIHOTEL,EIHOTEL.NS
EPL Ltd.,EPL,EPL.NS
Easy Trip Planners Ltd.,EASEMYTRIP,EASEMYTRIP.NS
Edelweiss Financial Services Ltd.,EDELWEISS,EDELWEISS.NS
Eicher Motors Ltd.,EICHERMOT,EICHERMOT.NS
Elgi Equipments Ltd.,ELGIEQUIP,ELGIEQUIP.NS
Emami Ltd.,EMAMILTD,EMAMILTD.NS
Endurance Technologies Ltd.,ENDURANCE,ENDURANCE.NS
Engineers India Ltd.,ENGINERSIN,ENGINERSIN.NS
Equitas Holdings Ltd.,EQUITAS,EQUITAS.NS
Equitas Small Finance Bank Ltd.,EQUITASBNK,EQUITASBNK.NS
Eris Lifesciences Ltd.,ERIS,ERIS.NS
Escorts Ltd.,ESCORTS,ESCORTS.NS
Exide Industries Ltd.,EXIDEIND,EXIDEIND.NS
FDC Ltd.,FDC,FDC.NS
FSN E-Commerce Ventures Ltd.,NYKAA,NYKAA.NS
Federal Bank Ltd.,FEDERALBNK,FEDERALBNK.NS
Fertilisers and Chemicals Travancore Ltd.,FACT,FACT.NS
Fine Organic Industries Ltd.,FINEORG,FINEORG.NS
Finolex Cables Ltd.,FINCABLES,FINCABLES.NS
Finolex Industries Ltd.,FINPIPE,FINPIPE.NS
Firstsource Solutions Ltd.,FSL,FSL.NS
Fortis Healthcare Ltd.,FORTIS,FORTIS.NS
G R Infraprojects Ltd.,GRINFRA,GRINFRA.NS
GAIL (India) Ltd.,GAIL,GAIL.NS
GMM Pfaudler Ltd.,GMMPFAUDLR,GMMPFAUDLR.NS
Galaxy Surfactants Ltd.,GALAXYSURF,GALAXYSURF.NS
Garware Technical Fibres Ltd.,GARFIBRES,GARFIBRES.NS
General Insurance Corporation of India,GICRE,GICRE.NS
Gland Pharma Ltd.,GLAND,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,GLAXO.NS
Glenmark Life Sciences Ltd.,GLS,GLS.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK,GLENMARK.NS
Go Fashion (India) Ltd.,GOCOLORS,GOCOLORS.NS
Godfrey Phillips India Ltd.,GODFRYPHLP,GODFRYPHLP.NS
Godrej Agrovet Ltd.,GODREJAGRO,GODREJAGRO.NS
Godrej Consumer Products Ltd.,GODREJCP,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND,GODREJIND.NS
Godrej Properties Ltd.,GODREJPROP,GODREJPROP.NS
Granules India Ltd.,GRANULES,GRANULES.NS
Graphite India Ltd.,GRAPHITE,GRAPHITE.NS
Grasim Industries Ltd.,GRASIM,GRASIM.NS
Great Eastern Shipping Co. Ltd.,GESHIP,GESHIP.NS
Grindwell Norton Ltd.,GRINDWELL,GRINDWELL.NS
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,GUJALKALI.NS
Gujarat Ambuja Exports Ltd.,GAEL,GAEL.NS
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,FLUOROCHEM.NS
Gujarat Gas Ltd.,GUJGASLTD,GUJGASLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,GNFC.NS
Gujarat Pipavav Port Ltd.,GPPL,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,GSFC.NS
Gujarat State Petronet Ltd.,GSPL,GSPL.NS
H.E.G. Ltd.,HEG,HEG.NS
HCL Technologies Ltd.,HCLTECH,HCLTECH.NS
HDFC Asset Management Company Ltd.,HDFCAMC,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE,HDFCLIFE.NS
HFCL Ltd.,HFCL,HFCL.NS
HLE Glascoat Ltd.,HLEGLAS,HLEGLAS.NS
Happiest Minds Technologies Ltd.,HAPPSTMNDS,HAPPSTMNDS.NS
Hathway Cable & Datacom Ltd.,HATHWAY,HATHWAY.NS
Hatsun Agro Product Ltd.,HATSUN,HATSUN.NS
Havells India Ltd.,HAVELLS,HAVELLS.NS
Hemisphere Properties India Ltd.,HEMIPROP,HEMIPROP.NS
Hero MotoCorp Ltd.,HEROMOTOCO,HEROMOTOCO.NS
Hikal Ltd.,HIKAL,HIKAL.NS
Hindalco Industries Ltd.,HINDALCO,HINDALCO.NS
Hinduja Global Solutions Ltd.,HGS,HGS.NS
Hindustan Aeronautics Ltd.,HAL,HAL.NS
Hindustan Copper Ltd.,HINDCOPPER,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC,HINDZINC.NS
Hitachi Energy India Ltd.,POWERINDIA,POWERINDIA.NS
Home First Finance Company India Ltd.,HOMEFIRST,HOMEFIRST.NS
Honeywell Automation India Ltd.,HONAUT,HONAUT.NS
Housing & Urban Development Corporation Ltd.,HUDCO,HUDCO.NS
Housing Development Finance Corporation Ltd.,HDFC,HDFC.NS
ICICI Bank Ltd.,ICICIBANK,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,ICICIGI,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,ICICIPRULI.NS
ICICI Securities Ltd.,ISEC,ISEC.NS
IDBI Bank Ltd.,IDBI,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB,IDFCFIRSTB.NS
IDFC Ltd.,IDFC,IDFC.NS
IFB Industries Ltd.,IFBIND,IFBIND.NS
IIFL Finance Ltd.,IIFL,IIFL.NS
IIFL Wealth Management Ltd.,IIFLWAM,IIFLWAM.NS
IRB Infrastructure Developers Ltd.,IRB,IRB.NS
IRCON International Ltd.,IRCON,IRCON.NS
ITC Ltd.,ITC,ITC.NS
ITI Ltd.,ITI,ITI.NS
India Cements Ltd.,INDIACEM,INDIACEM.NS
Indiabulls Housing Finance Ltd.,IBULHSGFIN,IBULHSGFIN.NS
Indiabulls Real Estate Ltd.,IBREALEST,IBREALEST.NS
Indiamart Intermesh Ltd.,INDIAMART,INDIAMART.NS
Indian Bank,INDIANB,INDIANB.NS
Indian Energy Exchange Ltd.,IEX,IEX.NS
Indian Hotels Co. Ltd.,INDHOTEL,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC,IOC.NS
Indian Overseas Bank,IOB,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,IRCTC.NS
Indian Railway Finance Corporation Ltd.,IRFC,IRFC.NS
Indigo Paints Ltd.,INDIGOPNTS,INDIGOPNTS.NS
Indo Count Industries Ltd.,ICIL,ICIL.NS
Indoco Remedies Ltd.,INDOCO,INDOCO.NS
Indraprastha Gas Ltd.,IGL,IGL.NS
Indus Towers Ltd.,INDUSTOWER,INDUSTOWER.NS
IndusInd Bank Ltd.,INDUSINDBK,INDUSINDBK.NS
Infibeam Avenues Ltd.,INFIBEAM,INFIBEAM.NS
Info Edge (India) Ltd.,NAUKRI,NAUKRI.NS
Infosys Ltd.,INFY,INFY.NS
Inox Leisure Ltd.,INOXLEISUR,INOXLEISUR.NS
Intellect Design Arena Ltd.,INTELLECT,INTELLECT.NS
InterGlobe Aviation Ltd.,INDIGO,INDIGO.NS
Ipca Laboratories Ltd.,IPCALAB,IPCALAB.NS
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,JBCHEPHARM.NS
J.K. Cement Ltd.,JKCEMENT,JKCEMENT.NS
JK Lakshmi Cement Ltd.,JKLAKSHMI,JKLAKSHMI.NS
JK Paper Ltd.,JKPAPER,JKPAPER.NS
JM Financial Ltd.,JMFINANCIL,JMFINANCIL.NS
JSW Energy Ltd.,JSWENERGY,JSWENERGY.NS
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL.NS
Jamna Auto Industries Ltd.,JAMNAAUTO,JAMNAAUTO.NS
Jindal Stainless (Hisar) Ltd.,JSLHISAR,JSLHISAR.NS
Jindal Stainless Ltd.,JSL,JSL.NS
Jindal Steel & Power Ltd.,JINDALSTEL,JINDALSTEL.NS
Jubilant Foodworks Ltd.,JUBLFOOD,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,JUBLINGREA,JUBLINGREA.NS
Jubilant Pharmova Ltd.,JUBLPHARMA,JUBLPHARMA.NS
Justdial Ltd.,JUSTDIAL,JUSTDIAL.NS
Jyothy Labs Ltd.,JYOTHYLAB,JYOTHYLAB.NS
K.P.R. Mill Ltd.,KPRMILL,KPRMILL.NS
