Date,Ambuja Cement Ltd.,Asian Paints,Can Fin Homes Ltd,Century Plyboards(India) Ltd.,Crompton Greaves Consumer Electricals Ltd.,Housing Development Finance Corporation Ltd.,Heidelbergcement India Ltd,JK Cement Ltd,Kajaria Ceramics Ltd.,Orient Electric Ltd.,Polycab India Ltd,Prince Pipes and Fittings Ltd.,Supreme Industries Ltd.,
12/31/2019,0.003066732,-0.009626642,-0.006947954,-0.008029573,-0.007037868,-0.010540327,-0.002565547,0.007195153,0.019706872,-0.02031776,0.00252589,-0.086578775,0.010868634,
1/1/2020,0.003821656,0.004621978,0.00585172,0.030510546,0.011048546,0.008870242,0,0.006544916,0.000666366,0.015155495,0.001662912,0.022302455,-0.011575563,
1/2/2020,0.042385818,-0.001421998,0.012520505,0.009063444,-0.008041225,0.013332218,0.041726226,0.03714403,0.014175649,0.004714558,-0.016953452,-0.000962523,0.002500195,
1/3/2020,-0.009496042,-0.021919414,-0.012615508,0.002095845,0.000415676,-0.004845099,0.007681722,0.049049418,0.007129433,-0.004431731,0.005322156,-0.024405929,0.00748156,
1/6/2020,-0.031956736,-0.025265502,-0.02998104,-0.011951,-0.011219601,-0.028662167,-0.023958584,-0.017655636,-0.020026081,0.012568783,-0.022041257,-0.011191554,-0.012203003,
1/7/2020,0.010665344,0.01010456,0.01238915,-0.006350185,0.006513986,0.012981817,0.039330561,0.020318939,0.008174105,-0.005689196,-0.000884838,0.022303636,0.004792008,
1/8/2020,0.013316552,0.002551626,-0.009918862,-0.008216714,0.000626279,-0.003685284,0.038110525,-0.005884683,0.036108278,0.006762044,0.008648073,-0.001953781,0.004681668,
1/9/2020,0.031242268,0.02530657,0.005984955,0.003375287,-0.003755451,0.021299587,0.009565699,0.00129368,0.016651546,0.011108209,0.003822129,0.05644368,0.03688701,
1/10/2020,0.018273638,0.011283179,-0.00206937,0,-0.000837684,6.11E-05,-0.014084507,-0.001174536,0,-0.013030164,0.059171598,0.021000675,0.010500231,
1/13/2020,-0.001180638,0.006889613,-0.000129569,0.000305829,0.006707151,0.002034547,-0.002337646,0.000195986,-0.032489078,0.012425624,0.039640562,0.025105831,0.012261524,
1/14/2020,-0.010401877,0.007895174,0.001814678,-0.00183432,0.010202008,0.012080973,0.022650303,0.018732629,0.016743733,-0.011761713,-0.020326152,0.012983163,-0.004639815,
1/15/2020,0.013139035,0.012698225,-0.028334873,-0.002143988,0.01463309,-0.001484553,-0.007382877,0.011079072,-0.000272884,0.057697252,0.033339645,-0.008156096,0.002475145,
1/16/2020,-0.010846513,-0.00385397,0.025299601,0.00429719,0.000812562,-0.00261191,0.011797913,-0.028725792,0.000637014,0.025929566,0.027094369,0.023201157,0.017159767,
1/17/2020,0.003098898,-0.002779051,0.00974026,0.041259167,0.031865194,-0.011341262,-0.009632415,-0.009440652,0.016371078,0.015259881,-0.003640056,-0.024110201,0.043571466,
1/20/2020,-0.01592201,0.010218273,0.00141476,0,0.003737203,0.000163062,-0.003071441,0.010835665,-0.002058209,-0.012916863,0.018582811,-0.021764688,0.024151986,
1/21/2020,0.002656378,-0.020554429,0.190855434,-0.003228665,-0.000195915,0.004522522,-0.002053884,0.009115373,-0.015243903,-0.003093,-0.041092878,0.03217072,0.002422554,
1/22/2020,0.013246628,-0.017396107,-0.018334771,-0.001766802,0.022932207,-0.019813768,0.01749418,0.007598705,0.004370833,0.015990483,-0.081690152,0.006117117,-0.00558872,
1/23/2020,0.01568808,-0.001770423,0.048560769,0.007374631,-0.003257352,0.004882812,0.02579017,0.001769949,0.017769697,-0.019967112,0.009604735,0.000868611,0.004974595,
1/24/2020,0.010765285,0.006024477,-0.009534824,0.006442203,0.008842706,0.009203631,-0.002711378,0.056652325,0.022180674,0.011265536,0.015938637,-0.006074649,-0.001738182,
1/27/2020,-0.001852252,0.000867432,-0.005395087,-0.000872907,-0.001905488,-0.022421688,0.002965847,0.006542837,0.007581657,0.022517184,-0.021522726,0.014551804,0.022521671,
1/28/2020,0.002783534,-0.005172366,0.007551559,-0.00640647,-0.012409317,0.014942837,-0.013553475,0.003538985,-0.008735492,0.067918449,-0.003407179,0.022662059,-0.000370178,
1/29/2020,-0.009715433,0.010033149,0.030191108,0.002930832,-0.001546468,-0.011247778,-0.000249752,0.009032386,0.010208597,0.017581887,-0.00522877,-0.002244005,0.001925713,
1/30/2020,-0.019388036,0.00447984,-0.014038336,-0.005844535,0.034075461,0.004471249,0.000499704,-0.014265335,-0.003454828,0.010665529,-0.013797598,-0.02024181,0.019662903,
1/31/2020,-0.025726508,-0.005180042,0.006131743,0.003527283,0.065156432,-0.000414079,0.000249765,0.002858141,0.006153558,0.062895777,0.009122086,0.00975608,0.010801815,
2/3/2020,-0.018337408,0.0400969,0.007643864,-0.011423532,0.010546669,-0.063898094,-0.023970053,-0.022872364,-0.042380974,-0.025615555,0.002285308,-0.049445849,-0.046116364,
2/4/2020,0.030137002,0.012662985,-0.008200923,0.003851816,-0.012350037,0.038145791,0.009721203,0.02056487,0.010434558,0.008355361,0.013173896,0.024813117,0.015037594,
2/5/2020,-0.00193428,-0.009411541,-0.009509057,0.00678872,0.016907427,0.019480361,0.011907731,0.008248336,0.005697411,-0.013540788,0.010602157,-0.015752608,0.016962981,
2/6/2020,0.005329487,-0.008913772,0.023270362,0.006742855,-0.017492269,0.018731859,-0.005758607,0.000358809,-0.002655572,0.006965773,0.046120323,-0.002074635,-0.003496284,
2/7/2020,0.011084352,0.001023213,-0.005404842,-0.001747251,0.003525472,-0.012641363,0.033996474,0.015064562,-0.017928421,0.011597176,0.001182592,0.022571949,0.01600762,
2/10/2020,-0.012869385,0.005810539,-0.013636817,-0.022462024,-0.011241812,0.003595763,0.007306381,0.004028234,-0.015002237,-0.01307321,-0.018662887,0.041824063,-0.003273416,
2/11/2020,0.023660037,0.004600147,0.023908524,-0.009549424,-0.027003041,0.008635983,-0.009912974,0.000281569,-0.000458758,0.016506981,0.003899903,-0.013381707,0.006712656,
2/12/2020,-0.002830217,0.008306254,0.03695434,-0.014763465,0.030856241,0.001006178,-0.031501817,-0.001442493,0.008261428,-0.003007217,0.022157186,0.010172382,-0.003083025,
2/13/2020,-0.013481509,-0.01037646,-0.008517733,-0.019266018,-0.015054907,-0.013927713,-0.006555739,-0.002466439,-0.007920678,0.009048864,0.015155092,0.034685298,0.000683285,
2/14/2020,-0.013905582,0.001600811,0.007504666,-0.000623674,0.013846453,-0.000790424,0.000253823,0.005863393,-0.011287444,0.012953368,-0.003374029,0.02892677,0.010025838,
2/17/2020,-0.008995823,0.002317453,-0.000980104,-0.029017123,0.030507294,-0.021442698,-0.000761275,-0.004038347,-0.013922405,0.053511731,-0.024300953,-0.004203905,-0.002917405,
2/18/2020,-0.01447496,-0.009434464,0.00039245,-0.017994878,-0.014802023,-0.013381534,0.010665344,-0.010119157,-0.006400648,-0.026517296,0.016065426,-0.019261182,-0.005138235,
2/19/2020,0.024645242,0.011402355,-0.000784532,-0.004908377,0.01397624,0.025206982,0.014321639,0.041460339,0.022072802,0.049299852,0.008326729,-0.018563423,0.004196388,
2/20/2020,-0.001943679,-0.022627208,9.81E-05,0.014797764,0.002584424,-0.003260069,-0.009165252,0.007011184,0.023171748,0.008957997,0.055996266,-0.003015284,-0.006286198,
2/24/2020,0.021908472,-0.012647604,0.001766426,-0.011665606,-0.011170304,-0.032580693,0.004749985,0.014875713,-0.009149357,-0.065591612,-0.043537411,-0.012647803,-0.000862592,
2/25/2020,0.008099153,0.003930853,-0.000685749,0.016393443,-0.002780738,0.004493325,-0.007962134,-0.035539774,0.011336535,-0.00310265,0.021174889,-0.011417449,0.007050814,
2/26/2020,0.009451796,0.000301215,-0.004215261,0.009354819,0.002439917,-0.009185332,0.020315965,-0.007390718,-0.012384697,0.014199668,0.024649177,-0.018028152,-0.007358668,
2/27/2020,-0.009363296,0.009388785,-0.005611353,0.02428893,-0.014777468,-0.004054439,0.048672613,-0.013912696,-0.027734598,0.013041786,0.021466156,0.001721188,-0.007305329,
2/28/2020,-0.030954645,-0.024867175,-0.00990001,-0.021528842,-0.015352059,-0.042447827,-0.058134126,-0.016235884,-0.012521114,-0.006437002,-0.086595904,-0.062714844,-0.04353819,
3/2/2020,-0.013655221,-0.006201453,0,-0.007971939,-0.010752688,0.00179244,-0.005724211,0.010558107,0.038802508,-0.009336821,-0.004893151,-0.032080661,-0.000113631,
3/3/2020,0.044004914,0.007695321,-0.029497051,0.024429463,0.006702921,0.005390774,-0.012765973,-0.004243297,0.009085926,0.011925276,-0.006241112,0.013573291,-0.013115536,
3/4/2020,-0.01444465,0.026325235,-0.014321001,-0.027298437,-0.02951237,0.006685291,-0.034229209,-0.038997279,-0.012642132,-0.023949774,-0.004139286,-0.020554363,-0.050662532,
3/5/2020,-0.017779972,0.014340215,0.003449344,-0.030967762,0.02484707,-0.004986288,-0.025465954,0.018706197,0.008843014,-0.010710808,0.005255363,-0.011764745,0.00432916,
3/6/2020,0.003424717,0.00160047,-0.032395808,0.019307651,-0.017007462,-0.038996877,-0.013469827,-0.029592562,-0.001004361,0.015157504,-0.020246231,-0.049549532,-0.004874551,
3/9/2020,-0.055582686,-0.005486126,-0.078479947,-0.052253427,-0.026688755,-0.038659332,-0.039049748,-0.005691829,-0.015720639,-0.083187945,-0.019597392,-0.063981023,-0.02615167,
3/11/2020,-0.016778524,0.008408511,-0.021028037,0.016884885,-0.039523439,0.004117548,-0.020460306,-0.025437901,-0.020893304,-0.029187792,-0.005442581,-0.045207957,-0.006609638,
3/12/2020,-0.078498279,-0.020978836,-0.048687336,-0.073195546,-0.030124016,-0.078845942,-0.071076296,-0.109464312,-0.069992457,-0.079956454,-0.129147793,-0.177651492,-0.053604995,
3/13/2020,0.06980057,-0.024764708,-0.003763171,-0.070932336,0.001218039,0.101882019,0.022798212,0.060498841,-0.001529676,0.046175706,0.061753771,-0.031321985,-0.013662958,
3/16/2020,-0.044207739,-0.063581204,-0.085368908,-0.030696587,-0.067315514,-0.108888157,-0.062290058,-0.029450531,-0.048513943,-0.082616571,-0.115893698,-0.039467441,-0.046891046,
3/17/2020,-0.04485931,0.0286325,-0.000550694,-0.056435278,-0.035869565,-0.046667545,-0.039726512,-0.008487883,-0.006225835,-0.011349558,0.015031691,0.01039607,-0.024081743,
3/18/2020,-0.068553095,-0.065488581,-0.086501361,-0.088209985,-0.006989867,-0.075891329,0.000678237,-0.055729122,-0.027651735,-0.075617712,-0.061214686,-0.011269,-0.047857695,
3/19/2020,-0.035703083,-0.0105055,-0.035735844,-0.031146725,-0.041326026,-0.003050798,-0.040325292,-0.062508563,-0.051766314,-0.087202992,-0.033848511,0.005946466,-0.049048403,
3/20/2020,0.041896701,0.088527357,0.049882759,0.102776379,0.013027001,0.084291529,0.072740024,-0.048302826,0.0206186,0.025731977,0.020557889,0.082758636,0.005056688,
3/23/2020,-0.090710651,-0.140279415,-0.156687531,-0.095848046,-0.108721063,-0.132985551,-0.162606965,-0.094650228,-0.181359042,-0.074682799,-0.199948227,-0.106460459,-0.106450591,
3/24/2020,-0.025368612,0.017618222,0.020664097,0.01123597,-0.004197288,-0.010258418,0.001179257,0.044163833,-0.000280443,-0.063882831,-0.061447462,-0.020875718,0.020625919,
3/25/2020,-0.019697418,0.044791324,0.043779178,-0.005314039,0.005005253,0.093648313,0.017275262,0.036706643,-0.003927052,0.028295606,0.099974034,0.017160702,-0.009291521,
3/26/2020,0.033728,0.014938911,0.023043705,0.080135991,0.024377425,0.052975273,0.152064813,-0.028512182,0.058152615,0.15377145,0.09998432,0.021983577,0.055861693,
3/27/2020,-0.017355085,-0.007916093,-0.010533139,0.035071957,-0.014329518,0.011971729,-0.047906157,-0.005336179,-0.04071853,0.083052768,0.056747772,-0.008504237,-0.022539331,
3/30/2020,0.047333075,-0.00573517,-0.062397604,-0.046915739,-0.018431999,-0.11131699,-0.013019043,-0.013143777,-0.014010315,-0.083419721,-0.001888989,-0.044399612,-0.007156231,
3/31/2020,0.050252931,0.044860372,-0.025152881,0.011394713,0.104469715,0.047698461,0.011408243,0.017178568,0.057540834,0.110231773,0.003109142,0.083949365,-0.007265003,
4/1/2020,0.006101458,-0.037983828,-0.014513485,-0.024335259,-0.023706882,-0.030371671,-0.032076157,-0.015071323,-0.037381982,-0.057535581,-0.009837596,-0.00828055,-0.032499725,
4/3/2020,-0.023300313,-0.051334786,-0.042909047,-0.03926097,0.015452508,-0.053015441,-0.023306605,-0.009278841,-0.003593112,-0.016477596,0.002313729,-0.030451925,-0.048243002,
4/7/2020,0.039215686,0.067657323,0.043502968,0.007211538,0.015458922,0.037077773,0.052199848,0.058440108,-0.012898735,-0.024443817,0.044198503,0.047619095,0.023091379,
4/8/2020,-0.058490585,-0.009145275,0.03185873,0.016229088,0.003330147,0.002347056,0.039688098,-0.013247077,0.008852027,0.005067533,-0.010728218,0.002417795,0.050522952,
4/9/2020,0.060788285,0.026352606,0.003175702,0.058243351,0.062114777,0.092571159,0.050783893,0.015470135,0.019498607,0.032493014,-0.001380201,0.070429284,0.040582213,
