,Date,Test,Investment Period (Months),RSI Window,Breakout window,Investment Value,Technical Filter Passed,Fundamental Filter Passed,Exit Value
0,2020-04-30,Test-1,1,40,10,100000,35,7,95615.70879425974
1,2020-05-31,Test-1,1,40,10,100000,77,11,109595.47033125893
2,2020-06-30,Test-1,1,40,10,100000,22,3,92654.29718823222
3,2020-07-31,Test-1,1,40,10,100000,2,1,100000.0
4,2020-08-31,Test-1,1,40,10,100000,15,2,114223.03473739582
5,2020-09-30,Test-1,1,40,10,100000,1,0,100000.0
6,2020-10-31,Test-1,1,40,10,100000,6,0,100000.0
7,2020-11-30,Test-1,1,40,10,100000,69,6,104918.0159104339
8,2020-12-31,Test-1,1,40,10,100000,4,2,95599.93966789584
9,2021-01-31,Test-1,1,40,10,100000,1,0,100000.0
10,2021-02-28,Test-1,1,40,10,100000,4,0,100000.0
0,2020-04-30,Test-2,2,40,10,100000,35,7,101394.978534534
1,2020-06-30,Test-2,2,40,10,100000,22,3,110883.14583795438
2,2020-08-31,Test-2,2,40,10,100000,15,2,110427.62885238547
3,2020-10-31,Test-2,2,40,10,100000,6,0,100000.0
4,2020-12-31,Test-2,2,40,10,100000,4,2,103590.76645481595
0,2020-04-30,Test-3,3,40,10,100000,35,7,109267.05737777174
1,2020-07-31,Test-3,3,40,10,100000,2,1,100000.0
2,2020-10-31,Test-3,3,40,10,100000,6,0,100000.0
0,2020-04-30,Test-4,1,30,10,100000,79,15,98386.42032020513
1,2020-05-31,Test-4,1,30,10,100000,20,3,103369.03254770701
2,2020-06-30,Test-4,1,30,10,100000,16,2,104933.07866140408
3,2020-08-31,Test-4,1,30,10,100000,24,3,97024.05034423387
4,2020-10-31,Test-4,1,30,10,100000,31,2,116952.04176957396
5,2020-11-30,Test-4,1,30,10,100000,64,8,102142.63728960554
6,2020-12-31,Test-4,1,30,10,100000,1,0,100000.0
7,2021-01-31,Test-4,1,30,10,100000,1,0,100000.0
8,2021-02-28,Test-4,1,30,10,100000,4,0,100000.0
0,2020-04-30,Test-5,2,30,10,100000,79,15,110353.43435608863
1,2020-06-30,Test-5,2,30,10,100000,16,2,106374.65105418398
2,2020-08-31,Test-5,2,30,10,100000,24,3,101050.32987484426
3,2020-10-31,Test-5,2,30,10,100000,31,2,124688.75839188852
4,2020-12-31,Test-5,2,30,10,100000,1,0,100000.0
0,2020-04-30,Test-6,3,30,10,100000,79,15,112529.84793249876
1,2020-10-31,Test-6,3,30,10,100000,31,2,123975.46350772525
0,2020-04-30,Test-7,1,40,20,100000,20,1,100000.0
1,2020-06-30,Test-7,1,40,20,100000,17,5,99655.38802427385
2,2020-07-31,Test-7,1,40,20,100000,4,1,100000.0
3,2020-08-31,Test-7,1,40,20,100000,4,0,100000.0
4,2020-09-30,Test-7,1,40,20,100000,7,1,100000.0
5,2020-10-31,Test-7,1,40,20,100000,9,1,100000.0
6,2020-11-30,Test-7,1,40,20,100000,99,9,105522.69405951237
7,2020-12-31,Test-7,1,40,20,100000,13,4,97091.01886397155
8,2021-02-28,Test-7,1,40,20,100000,7,0,100000.0
0,2020-04-30,Test-8,2,40,20,100000,20,1,100000.0
1,2020-06-30,Test-8,2,40,20,100000,17,5,119816.8196314615
2,2020-08-31,Test-8,2,40,20,100000,4,0,100000.0
3,2020-10-31,Test-8,2,40,20,100000,9,1,100000.0
4,2020-12-31,Test-8,2,40,20,100000,13,4,102020.85580647417
0,2020-04-30,Test-9,3,40,20,100000,20,1,100000.0
1,2020-07-31,Test-9,3,40,20,100000,4,1,100000.0
2,2020-10-31,Test-9,3,40,20,100000,9,1,100000.0
0,2020-04-30,Test-10,1,30,20,100000,35,1,100000.0
1,2020-05-31,Test-10,1,30,20,100000,63,7,107391.3570143673
2,2020-06-30,Test-10,1,30,20,100000,6,1,100000.0
3,2020-07-31,Test-10,1,30,20,100000,4,1,100000.0
4,2020-08-31,Test-10,1,30,20,100000,17,3,104135.07227342323
5,2020-09-30,Test-10,1,30,20,100000,1,0,100000.0
6,2020-10-31,Test-10,1,30,20,100000,9,3,106272.66493873308
7,2020-11-30,Test-10,1,30,20,100000,83,11,106829.14256633175
8,2020-12-31,Test-10,1,30,20,100000,15,4,94958.01371121548
9,2021-02-28,Test-10,1,30,20,100000,10,2,98205.38337059345
0,2020-04-30,Test-11,2,30,20,100000,35,1,100000.0
1,2020-06-30,Test-11,2,30,20,100000,6,1,100000.0
2,2020-08-31,Test-11,2,30,20,100000,17,3,100117.99328769659
3,2020-10-31,Test-11,2,30,20,100000,9,3,103492.3210337879
4,2020-12-31,Test-11,2,30,20,100000,15,4,98726.00133964632
0,2020-04-30,Test-12,3,30,20,100000,35,1,100000.0
1,2020-07-31,Test-12,3,30,20,100000,4,1,100000.0
2,2020-10-31,Test-12,3,30,20,100000,9,3,104633.5657387668
