Date,Asian Paint,Axis Bank,Bajaj Finserv,Bajaj Finance,Airtel,HCL Technology,HDFC,HDFC Bank,Hindustan Unilever,ICICI Bank,Infosys,ITC,Kotak Bank,LNT,Maruti,Reliance,SBI,Tata Steel,TCS,Titan,Adani Ports,Cipla,Divis Laboratories Ltd.,Dr Reddys Laboratories Ltd.,Grasim,HDFC Life Insurance,Hindalco Industries,IndusInd Bank,JSW Steels,Mahindra & Mahindra Limited,Nestle India,NTPC,ONGC,PowerGrid,SBI Life Insurance,Sun Pharma Advanced Research Company Ltd,Tata Motors,Tech Mahindra,UltraTech Cement,Wipro,Bajaj Auto,Bharat Petroleum,Britannia,Coal India,Eicher Motors,Hero Motorcorp,Indian Oil Corporation Ltd.,Shree Cement,Tata Consumer Products Limited,UPL Ltd.
04/03/18,0.001695389,0.005009518,0.021680563,0.008605534,0.017970153,-0.010464523,-0.00671913,-0.007922497,-0.0021461,0.031315568,0.002901927,0.000968054,0.00615567,-0.004154292,0.002025932,0.00739123,0.017672176,0.001554983,0.000549928,-0.012869361,-0.008926206,-0.010325401,0.017288005,-0.003377044,-0.001239362,0.022687273,-0.015621316,0.013908886,0.021918733,0.029476623,0.004212325,-0.006161972,-0.013614876,0.018727569,-0.005702624,0.020368162,0.0116468,-0.038029011,-0.006861895,-0.019851541,-0.006034266,0.006731238,-0.001419606,0.005225269,-0.010560735,-0.000288,0.021707228,0.014244146,-0.007763222,0.017610273
04/04/18,-0.01397446,-0.018542494,-0.028439551,0.008695626,-0.017777215,-0.010317256,-0.012269213,-0.017041612,0.006711604,-0.005184203,-0.014248762,0.000386871,-0.022659294,-0.025744137,-0.001434694,-0.005169237,-0.012774439,-0.03303437,-0.000120257,-0.029615362,0.003820944,-0.000876732,-0.011224262,-0.015765449,-0.026243265,0.004558347,-0.034383236,-0.016587406,-0.023758396,-0.017595102,0.000850869,-0.01653377,-0.01183102,-0.012591284,-7.35E-05,-0.023416491,0.036432526,-0.015666895,-0.017690804,-0.008101399,-0.009312321,-0.026510235,-0.014784875,-0.015773523,0.03373528,0.006090605,-0.017226529,-0.019583645,-0.016557453,-0.043296499
04/05/18,0.006073965,0.022041658,0.041177822,0.035347544,-0.002911032,0.002918934,0.011728443,0.013620085,0.018232716,0.037223154,0.020770413,0.004060278,0.037095426,0.025190004,0.01321347,0.014861992,0.048523998,0.035500892,0.016163403,0.017360549,0.022158849,-0.016584788,0.020013632,0.009419621,0.032944754,0.004235164,0.066484017,0.020896422,0.042420103,0.023858288,0.003975571,0.014410087,0.011687589,0.001020106,-0.007279965,0.017688679,0.018560197,0.018225281,0.021977185,0.016512722,0.015238576,0.018074466,0.008647838,0.011837553,0.025696139,0.031359503,0.014022841,0.02275094,0.010175763,0.033378814
04/06/18,0.000524959,-0.005764249,0.0074212,0.011484652,-0.022721546,-0.009770764,0.002493929,0.007595998,-0.005353713,0.007177463,-0.017907758,0.004621653,0.000804706,-0.009218844,0.008059106,0.00308306,0.001542709,0.011628908,-0.002586218,0.022009674,0.008910694,-0.002498373,-0.003977788,0.006489484,-0.008818848,-0.003213186,-0.000700415,-0.006968032,-0.000648449,-0.003421073,-0.004448794,0.002959383,-0.002817695,-0.0015286,0.006888925,0.03630747,0.005245704,0.001376912,-0.004311021,-0.00803489,-0.007745313,0.027222156,0.021784366,-0.007199424,0.004090653,-0.000713867,0.004033402,0.022088908,-0.001098856,-0.004954092
04/09/18,0.012199345,0.038184676,0.014049287,0.003432094,-0.012079496,0.000629796,0.004209924,0.008136646,0.012219906,0.000712675,-0.013975155,0.018976353,-0.000848777,0.008620998,0.009390432,0.005488422,0.003657996,-0.001788126,-0.008948292,0.021642068,-0.005141001,-0.003935973,0.014000427,-0.001670768,-0.005624171,-0.008763989,0.034345823,0.019707782,0.003893516,0.018459745,0.004229066,0.001180325,0.008194388,-0.000510313,-0.001397796,-0.005342339,-0.01592974,-0.005419017,-0.007925066,0.003873906,-0.005006443,0.037792357,-0.002964341,-0.004894763,0.000221453,0.005093334,0.031850807,0.001664936,0.01870178,-0.002655357
04/10/18,-0.000604736,0.051704289,-0.026684392,-0.009360911,0.013804886,-0.005035392,-0.010453504,-0.009386077,-7.18E-05,0.02830686,0.00193478,0.003386097,-0.004113548,0.016567512,-0.00206617,0.001146311,0.010166867,0.026870254,0.00468559,0.001665514,0.026235574,0.002514637,0.012214054,-0.004313448,0.003152549,0.023475585,0.039078354,-0.00653192,0.006302561,-0.010938739,0.013940125,-0.007368147,0.010089704,0.005616521,0.025047885,-0.011366445,-0.014094301,0.01886645,0.00331785,0.003332719,-0.002164151,0.001776369,-0.005549188,0.023501481,0.005579503,-0.02116511,-0.002780868,-0.005279022,-0.008279294,0.000665622
04/11/18,-0.000778063,-0.011626909,0.001348684,-0.000726889,-0.000648363,0.019874506,-0.002806039,-0.001041206,0.012684171,-0.014716067,0.009744903,-0.005811842,0.011179411,0.002111249,0.003132578,0.015048244,-0.023737183,0.010217583,0.02605862,0.018394401,-0.024144625,0.006001927,-0.018362261,-0.005397541,-0.012200825,-0.007546396,0.018260856,0.00422092,0.002730066,0.014660526,-0.002676754,0.000593897,0.010821293,0.000253809,0.033491429,0.083006964,0.007218649,0.011014388,-0.00166617,-0.001048908,-0.003940032,-0.075030492,0.000214266,0.008899965,0.023790475,0.005661202,-0.066648058,-0.005086515,-0.005989089,-0.008181468
04/12/18,0.008089264,0.016580238,0.000101436,0.002441977,-0.013236436,0.044195183,0.009186727,0.005185436,0.002554714,0.007731549,0.034111608,-0.012068572,0.007548175,0.003474368,-0.010540156,-0.002309728,-0.012643396,-0.015870345,0.041504272,-0.00397982,-0.014686393,-0.009528006,-0.001647865,-0.019136456,-0.003976794,-0.000300138,-0.006831729,0.001104701,-0.012652185,-0.001457572,0.018946904,0.005934682,-0.002195959,-0.003299409,6.95E-05,-0.031731232,0.007307494,0.030709739,-0.013338732,0.004025214,0.00277618,0.003235097,0.005355039,-0.006704283,-0.000115685,0.002700965,0.005377914,0.001990005,0,0.003152064
4/13/2018,-0.002574665,-0.011298428,-0.019176349,-0.007774639,-0.006049465,-0.018612928,0.006314713,-0.001970162,-0.001557212,0.005231037,0.007612228,-0.004581073,0.01454257,-0.001915338,-0.00874577,0.010929252,-0.011229338,-0.007269446,0.004475607,0.011372406,0.028870686,-0.001168793,0.022037786,0.014292624,-0.000751493,0.000400284,0.022355962,0.001883949,0.00081103,0.002221235,0.005852738,0.008554536,0.004126547,0.005856804,-0.010291306,-0.005060256,-0.003766758,0.028722427,0.0017173,0.025448791,0.008323683,-0.03164935,0.008919454,0.012433393,0.021884494,-0.006280934,-0.017236219,-0.001177407,0.006025174,-0.001069645
4/16/2018,0.014326299,-0.000276405,0.013043579,0.015122665,-0.00330779,0.00872638,0.016217525,0.008883104,0.006345008,-0.002254966,-0.032651843,0.014189884,0.01824342,0.009779681,0.011842437,-0.001917221,-0.00777046,-0.004124253,0.010893303,-0.006736589,0.011485236,0.053015324,0.024225229,0.005981004,0.027029567,-0.010104017,0.006938578,0.001799804,0.001296577,0.015007646,0.007125225,0.018426441,-0.005479452,0.008607655,-0.003864259,0.000847678,-0.050133019,-0.004243877,0.009809368,-0.014448407,0.018699339,0.006906804,0.019860277,0.003859671,-0.001714349,0.020733246,-0.002116759,0.002653154,0.015063499,0.022085396
